S.No,Commentor name,Comment,Dislike,Insulting,Neutral,Supporting,Meaningless, Class
27,S?mid Arazov . ???ø?§¥Ÿ ??¥Ÿ?ñ?ø ??¥?¥?¥??ú .,Hallo  .  ?ÿ??¥???    ?­¥Ÿ?«?ø?§    ¥¥Ÿ?¨?æ¥?     ?¨¥????¬?æ¥?  ?¬???«??¥¥?¥?  .  ?­?¨?ø¥???ñ??    ?ý?ø?¬  .???,,,,1,,1
28,SD,Sunak The Black PM Wants Removing From British Government ???ª???,1,,,,,0
29,Colin Evans,Never heard so much rubbish I&#39;m so  angry with the detached people like him ????????????????,1,,,,,0
30,KrV,??®???®???®???®???®???®???®???®???®???®???®?????????????????????????????????????ƒ?‹?ƒ?‹?ƒ?‹?ƒ?‹?ƒ?‹?ƒ?‹?ƒ?‹????¬???¬???¬???¬???¬???¬????????????????????,,,,,1,1
31,Nathan Virica,"That reminds me, I really need to get rid of that dead rat my cat brought inside earlier...",1,,,,,0
32,Farhan Abdulhamid,TNX GOOD brother and sister TNX GOOD Family First good business ok thanks good,,,1,,,1
33,Ben Sullivan,Clearly there must be an alien invasion underway. I wonder at which point they will reveal themselves ???????œ???‹?ƒ?????ƒ????¨??,,,,,1,1
34,TechTinkering,General election,,,1,,,1
35,Dean,He will work night and day on his six figure income. Nurses will work day and night on their below inflation low income. The man&#39;s a joke.,1,,,,,0
36,Dean,Yuck.,1,,,,,0
37,Daniel Pitt,How much was he payed for this speech ???ª,,1,,,,0
38,Jason Young,Is he controlled by AI? Very wooden speech,1,,,,,0
39,Sharad Jain,India invented zero and hindu arabic numerals which the  world use. world renowed mathematician ramanujan was also from india.,,,1,,,1
40,cherie goodwin,Corruption and lies has slowly bought this country to its knees... ppl will only stand for so much ....civil unrest next  ?,,,,1,,1
41,Xoxox Nuklur,training the people army great war <br>for the delivery of war to Russia and to North Korea???MR PM,1,,,,,0
42,Zenoux Beauty,Sunak only promises what he can deliver and he delivers what he promises,,,,1,,1
43,Retinal Circus INC,Ah joy. A bootlicker,1,,,,,0
44,Bea,Sell us to the highest bidder more like.....,,1,,,,0
45,upper cut,"Self entitled privileged talking head, pretending that he makes decisions. News!?",,,1,,,1
46,Tri Hasta,TWENTY,,,,,1,1
47,John Phipps,Revolting man,1,,,,,0
48,Abid Kassam,Easier said than done.,1,,,,,0
49,shady hamzawy,???œ???œ???œ???œ???œ???œ???œ???œ???œ,,,,,1,1
50,ukguy,Has anyone else noticed how much he looks like Roland Rat?,,,,,1,1
51,H K,uk is such a cringefest,1,,,,,0
52,Ricardo Smythe,&quot;When will he resign?&quot; Said no media outlet,1,,,,,0
53,jebby jumbuck,Mick Lynch for PM,,,1,,,1
54,amaira kahn,Too many people inn the country so NHS will have a toll .. they waste money on immigration and prisons .. it&#39;s all fuked basically do much money wasted and under this government too many people have come into the country .. America is also behind this n is invested heavily in private companies and NHS,1,,,,,0
55,amaira kahn,"Under his team Priti Patel brang inn 200,000 Indians in 2 years ..and Ghanaian have flooded inn my town is fked",,1,,,,0
56,Billy Ray Valentine,Tories will never get in power again.  They have offended every living generation.  Bye bye in the next GE and good riddance,1,,,,,0
57,Shango S,Please help people,,,,1,,1
58,Deborah wyndham-lewis,Most businesses where I live have gone under!,1,,,,,0
59,Martin O'BRIEN,"Day Dreamer. No Substance Whatsoever . It is his pleading sincerity which shows his insincerity <br>Dreams made of Concrete, Painful .",,1,,,,0
60,Scooby doo,IF U STOP FUNDING HOTELS FOR MIGRANTS THEN U COULD PAY OUR NHS  TIME BRITAIN GOT SHUT OF THESE SPONGERS DOSSERS IN HOTELS,1,,,,,0
61,Simon Clark,Sunakƒ??s speech writers and political advisers need to be fired. He speaks far more convincingly and fluently when responding to journalistƒ??s questions. Why have his speech writers been unable to capture the best of Sunak on paper?<br><br>Or - perhaps they have convinced themselves the British people are too stupid to understand the real Sunak..?,,,,1,,1
62,A few too many,"And the winner of this speech is, Keir Starmer",,,,,1,1
63,Chris Goodman,I am pretty good at maths and something just doesn&#39;t add up,1,,,,,0
64,David Devilliers,Another chut lying again,,1,,,,0
65,Festadds Manster,as men we shall protect our women. no more tax for women. whats good for one right!.,,,,1,,1
66,charles hewett,"same script as before, different tone and delivery",1,,,,,0
67,Goldfinga Sliverfinga,Millions are going to Ukraine to prolong the war ..sucking the life line out of uk,1,,,,,0
68,southamerican stud,I suppose Sunak was elected by popular vote; any democratic country elects its leaders by voting at the polls,,,,1,,1
69,Goldfinga Sliverfinga,5 promises that Will never happen full of lies time for a general election the people of this country are struggling stop the boats dont make me laugh,1,,,,,0
70,southamerican stud,Sunak telling more lies dont believe a word this man said he thinks the public are stupid,,1,,,,0
71,Andrew 888,"Rishi Rich is an insincere, rehearsed wet lettuce !",,1,,,,0
72,Ju,Made his fortune through tax avoidance along with his wife his head office is in the Cayman Islands ???ªhow much longer do we have we got to put up with this corrupt government,,1,,,,0
73,Max Wolfe,"The ILLEGITIMATE Prime minister who 
<br>1, Wasted billions on The Pandemic.
<br>2. Wasted Billions on, The Lockdowns.
<br>3. Wasted Billions on Untested Vaccines.
<br>4. Wasted Billions on NET ZERO
<br>5. Destroyed the Energy market with Carbon &amp; Green taxes.",,1,,,,0
74,Mathew Davies,Will the mpƒ??s not take a pay rise this year and live like the rest of us?,1,,,,,0
75,faustaofps,kk,,,,,1,1
76,The_Clone_Ranger,"<a href=""https://youtu.be/75tUSfBCEq0"">https://youtu.be/75tUSfBCEq0</a>",,,,,1,1
77,tony grayson,Not sure about this but I&#39;ve just heard the first cuckoo of 2023. Is this a world record I ask myself?,,,1,,,1
78,Universal-Mind-Love,Please go. Time for general election,,,1,,,1
79,Yorkshire Pud,NEVER EVER EVER BE MY PM............... hope thats clear enough ??,1,,,,,0
80,Gooner94,Why don&#39;t the gov actually show the numbers.. after all that&#39;s his expertise,,1,,,,0
81,Abdul Rehan Khan,"Apparently, UK market salary is low as complete to Us salary market.Moreover UK government need to assess and reconsider for better Pay for working hard workers",,,1,,,1
82,Graeme Vipond,Wake up uk we are lions lead by donkey&#39;s.,1,,,,,0
83,Jay,I hope this guy faces justice one day for what he did during covid,,,,1,,1
84,jetblack,"This absurd, robotic performance from a ???­..",,1,,,,0
85,EVMYT,So far i havent seen him do anything that hasn&#39;t been the polar opposite of this speech.,,,,1,,1
86,royal crown towing,England is done,1,,,,,0
87,CT,I wish i was eloquent enough to express just how inhuman this speech is. Someone who is trying to speak so methodically to avoid scrutiny has infact managed to perfectly personify insincerity.   A living breathing deep fake.,1,,,,,0
88,Hayley Dryden,All i see is roland rat..,,1,,,,0
89,Nick T Lfc .,Lies,,1,,,,0
90,andrew hubbard,Sunak promises queues will reduce in the NHS but allows thousands of immagrants into the country weekly the NHS is doomed.,1,,,,,0
91,TRIPPLE-JAY,F*** 0FF we don&#39;t want agenda 21 or any Sharian Law&#39;s. So step down and F*** 0FF back to your corner shop.,,1,,,,0
92,Sifu,"The UK certainly could use the NFL&#39;s football team located in Dallas, Texas.  ???ÿ",,1,,,,0
93,Zenoux Beauty,Your UK not ours,1,,,,,0
94,Abdi Hashi,"Please guys Starmer, trump and muse bixi this is the change we need to stop this country going down the drain",1,,,,,0
95,Abdi Hashi,mass immigration caused by Mr sunak and his upper class friends across the world,,1,,,,0
96,Abdi Hashi,And know he wants to run the world with Biden and other corrupt officials,,1,,,,0
97,Abdi Hashi,Rishi was chancellor and turned on his mate for seat as a PM,1,,,,,0
98,Abdi Hashi,A honest politician is like square circle unless it&#39;s labour,,,1,,,1
99,Abdi Hashi,Starmer now!!!!!!!,,,1,,,1
100,Abdi Hashi,I think Mr sunak needs to let the public  know what miss braverman and his non dom billionaire wife did behind closed doors ???¦,1,,,,,0
101,Play Google,I have just noticed his ears.,,,1,,,1
102,Zenoux Beauty,"There was new year speeches from Sunak and Starmer on the 4th and 5th of January 2023. After watching these 2 Speeches I learned that Starmer had first of all nothing to offer, for instead of Starmer to go there with the 5 pledges his Labour party would deliver to the nation if Labour wins, he just went there and started criticizing the 5 pledges that the PM announced already on the 4 th of January yet Starmer was meant to have his own 5 pledges. Starmer did not offer anything to the nation., where as Sunak he had his 5 pledges he planned and he presented them on his new year speech and he was honest as well. Starmer presented himself on this new year speech like he is in a parliament where he faces the PM and accuse what the government has already planned. Starmer lost on New year speech for he proved he is out of touch, no charisma, idealistic, is not fit to lead a country.",1,,,,,0
103,LW1zFog,???­???­???­,,,,,1,1
104,Zenoux Beauty,@LW1zFog Piece of work,,,,,1,1
105,Haziq Shan,Mr. John Schmidt is legit and him method works like magic. I keep winning every week with him new strategy.,1,,,,,0
106,Jane,"Wow, I&#39;m just shocked that someone mentioned that expert Mr. John Schmidt thinks I&#39;m the only one trading with him.",,,,,1,1
107,Clara Joe,Him helped me get back what I lost trying to trade.,,,,,1,1
108,Samantha,Him is truly amazing with him skills.  Him changed my 0.5btc to 2.1btc.,,,,,1,1
109,Dora Marvich,I think I am blessed because otherwise I would not have met someone as spectacular as the expert Mr.john Schmidt <br>  I think him is the best broker I have ever seen.,,,,,1,1
110,Michael Scott,I also trade with him and earn $2600 per week.  My whole family traded with her and made a profit.,,,,,1,1
111,Ajay Kumar pandit,Please how to start with Mr.John Schmidt??,,,,,1,1
112,Lorraine,"I always wonder how him gets her analysis, I got a profit of $28,609 with capital of $4,000 in 7 days of trading with him.",,,,,1,1
113,Anita Jack,It&#39;s available on Telegramƒª?‹?.,,,,,1,1
114,Anita Jack,@MR_JOHN_SCHMIDT,,,,,1,1
115,Anita Jack,It is also available on WhatsAppƒª?‹?,,,,,1,1
116,Charles,"I&#39;m from France, I used to take a loan from the bank to survive, but after chatting with expert Mr. JohnSchmidt, she changed my financial situation for real???®???ú.",,,,,1,1
117,Adams Nora,Telegramƒª?‹?.,,,,,1,1
118,Adams Nora,@MR_JOHN_SCHMIDT,,,,,1,1
119,Adams Nora,It is also available on WhatsAppƒª?‹?,,,,,1,1
120,Dan Zackir,"Same here, I started with $5,000 earning now<br> $58,300 profit every one weeks with his trading<br> program.  Mr John Schmidt him strategies is second<br> to none and very profitable.",,,,,1,1
121,Barrymore,Telegram ????,,,,,1,1
122,Barrymore,@MR_JOHN _SCHMIDT,,,,,1,1
123,Jessica,Came across one of his client testimonials and decided to give it a try... Am expecting my third withdrawal in 2 days.,,,,,1,1
124,Jeanne,Please how can I get in touch with MR JOHN SCHMIDT??,,,,,1,1
125,Cormally Mirabel,Telegram,,,,,1,1
126,Cormally Mirabel,@MR_JOHN_SCHMIDT,,,,,1,1
127,Salihu Isah,"I&#39;m from Canada, me and two other friends of mine tried it immediately we testified, it worked wonders ????????.",,,,,1,1
128,Jolly Jammy,"Yes Most people remain poor only because their friends and relatives have discouraged and advised them against investing and trading currencies, while the wisest have continued to invest and grow financially.",,,,,1,1
129,Jeanette,Trading without a professional like Mr. John Schmidt is like gambling with your money.,,,,,1,1
130,Paul Fred,No exact amount but a profit ranging from $1200 to $5000 depending on how coins fluctuate in the market.,,,,,1,1
131,Rechard David,Please how can I get in touch with this famous Mr.John Schmidt??,,,,,1,1
132,Aishat Jimoh,Telegram????,,,,,1,1
133,Aishat Jimoh,@MR_JOHN_SCHMIDT,,,,,1,1
134,John Assaraf,I believe anyone who him takes care of her craft for is so lucky,,,,,1,1
135,Smart Williams,"Count on me because I place my trades with<br> Expert John Schmidt, This is the kind of information that<br> we don&#39;t get most Youtubers, I&#39;ll enter<br> touch with her right now.",,,,,1,1
136,MrTamiya89,We Don&#39;t need to learn maths to figure out Why The Cost Of Living Has Been Going On For Decade&#39;s. ????ƒ?ƒ??‹????????­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­???­,,,,,1,1
137,wwg1wga,Unelected!!,1,,,,,0
138,ben trem,We appear to have an adult in the house. What a nice change.,,,,,1,1
139,Mikel Blake,"Question is are we actually going stand up together for once and say no more.... Everyone needs to take strike out on the Conservative Party <a href=""http://www.youtube.com/results?search_query=%23nomore"">#nomore</a>",,,1,,,1
140,mohsdef,Guys out of touch with the public,1,,,,,0
141,The Context Channel,"Sunak is reaching for unicorns again ???????úƒ?ƒ??‹?, absolutely full of it. I&#39;m sure he wrote this speech in his colouring book",,,1,,,1
142,Ophthalmology35,If the Uk would have stopped trying to look after other countries they wouldnƒ??t be in this mess and the poor people of the UK wouldnƒ??t be suffering today.,1,,,,,0
143,Hakim Bangura,"Making big promises but not able to deliver, not even able to prevent nurses, teachers and RMT strike.",1,,,,,0
144,MrH,"I personally think anybody who earns over ?œ200,000 per year should have to pay for NHS treatment. Itƒ??s time this government starts working for the working people and not just for the rich. We also need a bigger army navy and air force because the predictable future isnƒ??t so predictable",1,,,,,0
145,Gwynfryn Evans,Something else occurs to me in addition to my earlier comment. If he wishes to know how a speech should be delivered he should listen to Peter Ustinov reading the dictionary.,,,1,,,1
146,Gwynfryn Evans,"I am extremely disappointed by a speech delivered by OUR PRIME MINISTER. Regardless of the content he proved that he cannot, in fact, make a speech that anyone believes. In fact it sounded like he didnƒ??t believe a word of it. He came across like a poor imitation of Duncan Smith.",1,,,,,0
147,Chris James,UK will be a third world country if this carries on ...,,1,,,,0
148,Peter Jolliffe,I am kinda fed up with listening to millionaires who&#39;s wealth is going through the roof saying we &#39;can&#39;t afford&#39; any more money for the poor.,,,1,,,1
149,H,Can someone summarise in bullet points what heƒ??s promising? Heƒ??s just layering everything with buzz words to conceal the genuine agenda ????,1,,,,,0
150,Garth Reid,A wonderfully convincing orator. Doubt it will come to anything.â˜¹ï¸,,,,1,,1
151,Kevin Castelino,People are deeply used to living on welfare and freebies that it is difficult to change their mindset. PM is directly talking to the younger generation because they can change not the other who want to be in the comfort zone.,,,,1,,1
152,Greg Fowler,Lies,,1,,,,0
153,M Purvis,"If it wasnâ€™t so tragic the bull@@@@ would be funny! Delusions of grandeur. Pop on your private jet and do us all a favour! Roll on the next election! Such bold statements that have been staring the Tories in the face for yearsâ€¦and theyâ€™ve done nothing of any benefit other than squander money, party and try and build celebrity careers ðŸ˜‚",,1,,,,0
154,Miros100,a WEF minion,,,,,1,1
155,Shoeless Joe,"The clock is ticking Rishi.<br>If the NHS isn&#39;t fully restored by 2024, I&#39;m voting Labour.",,,1,,,1
156,Jon Tyson,He sounds like he&#39;s reading a bedtime story.,1,,,,,0
157,BUD,Blerghh de blerghh. Did someone just say something,,1,,,,0
158,ross,Someone asked me the other day if the UK is a part of India  .This is sad I was at the airport,,,,,1,1
159,Jessie weeizy,Heâ€™s speaking nonsence,,1,,,,0
160,Jessie weeizy,ROBOTIC VOICE,1,,,,,0
161,Jessie weeizy,ðŸ« ðŸ« ðŸ« ðŸ« ðŸ« ðŸ« ðŸ« ðŸ« ðŸ« ðŸ« ðŸ« ðŸ« ðŸ« ðŸ« ðŸ« ðŸ« ðŸ« ðŸ« ðŸ« ðŸ« ðŸ« ðŸ« ðŸ« ðŸ« ,,,,,1,1
162,Sushil Kumar,Billionaire Sunak&#39;s 5 Promices worth Billion how he erected by Hard Work - Innovation Education Setting Goal for Furture Action Plan,,,,1,,1
163,Matthew Waddington,Of course: I believe you...I mean why should British Gas reps get all the holidays?,,,1,,,1
164,99 ron,Fintech= Financial Technology= Central Bank Digital Currency.,,,,1,,1
165,Andrew as faith,Unelected PM,1,,,,,0
166,Brian Quinn,"Invisible man,Griffin ðŸ˜‚",1,,,,,0
167,Alexandru Bot,And how come sky news have 6milion subscribers and only 80k seen this video?,,,,,1,1
168,Sm ASH,"ive already stabilized the economy.. but remeber it was your party that fcuk it up in the first place and caused far too much damage..(suicides rose all of a sudden, i wonder why) to be forgiven.",,1,,,,0
169,Darrin Corbin,"Rishi supports families..<br>That&#39;s why his father in law gets all the governments IT contracts, and he loves IR35 so much",,,,1,,1
170,Steven Downey,"Hmm lots of promises but no real plans of how he&#39;s going achieve them. Labour are no better.<br>Reform UK are for me, they have real plans to get out of this mess.",,1,,,,0
171,Shadow Banned,Don&#39;t waste your time... It&#39;s just an hour of waffle.,1,,,,,0
172,M B,"Honestly why is he not visiting all the hospital s going around and spending time seeing what a state the Tories have made of this country, the Tories do not care for the roll your sleeves up kind of workers way out of touch way out.",,,,1,,1
173,Alom,U can talk the talk.. easy talk,1,,,,,0
174,Jasmine Balcombe,He couldnâ€™t care less about the people of this country (except his own precious kind of course).,1,,,,,0
175,Hmmm bore off,"I waited 7 hours for an ambulance 2 weeks ago, and heâ€™s talking about mathsâ€¦. WTF IS GOING ON?",1,,,,,0
176,Be Real,"I&#39;ve needed nhs treatment for nearly 3 years, I can&#39;t even get drs or hospital appts! He doesn&#39;t care who dies but then he will complain we aren&#39;t working because we are dead. I hope ur okay now âœŒ",1,,,,,0
177,Be HAPPY GUY,Oh Dear what can the matter be Rishi promises will be flushed down the lavatory.(like all their U Bends),,1,,,,0
178,Charlie Vardar,"Oh, he is definitely going to do everything he promised, just as he tackled the grooming gangs!",,,,1,,1
179,PenOtration,Or Not!  â˜®ï¸ðŸŒðŸŒ¿,,,,,1,1
180,Indiyan,ðŸ¤£ðŸ˜‚ðŸ¤£ðŸ˜‚ðŸ¤£,,,,,1,1
181,niblet112,"ðŸ‡¬ðŸ‡§Sunak intends to give employers the right to fire striking workers and sue unions - The Times<br><br>Workers in six industries (health, railroads, education, fire and border security) could be fired if their strikes (due to low wages or harsh working conditions) create a shortage in providing a minimum level of public service.",,,1,,,1
182,Be HAPPY GUY,I know like a dictatorship,,,1,,,1
183,Bnl BNL,"Maths for all till 18 â€¦ fantastic. That will solve the NHS disaster straight away. Once we can all learn how to manipulates statistics, we wonâ€™t need to fund the NHS. Brilliant.",,,,,1,1
184,dr eggy,Mass migration killed NHS,1,,,,,0
185,Dragonceratops,"@dr eggy No, it was not mass migration that killed it. It was the Tories underfunding it and insisting on its privatisation. Leaving the EU also cut the workers down significantly, losing 10s of thousands of nurses. Also, leaving the EU also lead to us pulling out of the Dublin Agreement which is therefore the cause of mass migration.<br><br>All that BS about how &quot;Labour would do a worse job&quot; is absolute nonsense.",,,,,1,1
186,dr eggy,@Dragonceratops ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£,,,,,1,1
187,Lena Wagenfuehr,This from the chancellor who helped turn the economy to mush! He can hector no one about maths!,,,,,1,1
188,Edward,"We are lucky to have a Primeminister,a successful businessman , with vision strength and determination.The markets trust Rishi and the country needs good strong management.The world is watching, the financiers are standing behind the country only because Rishi is the man",,,,1,,1
189,Lena Wagenfuehr,"He is not successful, he married a rich woman!",,1,,,,0
190,G. Wills,"HARDLY CONVINCING, SIMPLY READING FROM A SCRIPT! THE WHOLE GOVERNMENT NEEDS TO RETAKE MATHEMATICS! NO CONFIDENCE WHATSOEVER IN THIS GOVERNMENT.",,,1,,,1
191,J pyle,Pay nhs nurses direct and properly( hospital employed) not nusing agency then staff won&#39;t leave to join agency as they take most of the money. and those who owns and governs these agencies making huge profits,,,1,,,1
192,Biscuit Dunker,Just pours bullshit out his mouth,,1,,,,0
193,ecriptus wood,Don&#39;t be a gutter rat. Have more dignity in yourself,,,1,,,1
194,Steve Millington,CAN NOBODY ACKNOWLEDGE THE EXTREMISM HERE???,,,,,1,1
195,ecriptus wood,Don&#39;t be a gutter rat. Have more dignity in yourself,,,,,1,1
196,ecriptus wood,Don&#39;t be a gutter rat. Have more dignity in yourself,,,,,1,1
197,Indochina Connex,What an absolute wet lettuce ðŸ¤£,,1,,,,0
198,Firoze Bukht,"Precious metals, ferrous, nonferrous metals, Ferro alloys should be included in Karachi stock market.",,,,,1,1
199,marc manning,I&#39;m scared this man is off his head,1,,,,,0
200,Pax au Telemanus,The leader Britain deserves ðŸ‘,,,,1,,1
201,News they didnâ€™t tell us,CASH IS KING. Do not comply to digital money.,,,,,1,1
202,Ramesh Kumar G,Is there any Briton who actually likes him?,,1,,,,0
203,KG,Some people in Westminster probably?,,,1,,,1
204,Steve Millington,"<a href=""https://www.youtube.com/watch?v=KDx4QQTtLE0&amp;t=13m11s"">13:11</a> So sexism is acceptable now? Men can be victims too.",1,,,,,0
205,KG,ðŸ’¯ðŸ’¯ðŸ’¯,,,,,1,1
206,Connor,Madness that anyone believes this man after seeing that speech he gave in the garden. This man is evil,,1,,,,0
207,Financed By Me.,Cringe cringe cringe. Patronising and fake. I feel sorry for him if he thinks what he is saying and how heâ€™s saying it is landing. And I feel even more sorry for the ones whom it is landing for ðŸ«£,,,,1,,1
208,Mobile kita,who taught these slaves to speak in front of nobles,1,,,,,0
209,Ramesh Kumar G,Does he speak with an Indian accent? Is that the reason I can understand his speech so well?,,,,1,,1
210,Akber,"British Armed Forces, destroy Parliament.",1,,,,,0
211,Akber,Magna Carta corrupted everything. Everybody leave the UK. All of it is a lie.,1,,,,,0
212,lionzzz24,He is a fraud. Lies. Everything he says is dressed up lies.,,1,,,,0
213,SPEAK LiKE FiRE,Lies + Lies = Deception,1,,,,,0
214,Thomas Bacon,"...This is absolutely empty. Seriously, absurd.",1,,,,,0
215,Miss Etcetera Int.,A Wise and intelligent leader leads the country better and efficiently..,,,,1,,1
216,Cyber Tommo,"The problems in this country have absolutely nothing to do with the war in Ukraine.<br>12 years of a corrupt government, Brexit shambles,. Covid crap and now artificially generated fuel crisis all designed to make him and his lot richer and the rest of us poorer.<br>Get these villains out of power now we need a general election May 2023 not 2024",1,,,,,0
217,dr eggy,ZERO to do with brexit .,,,,,1,1
218,Cyber Tommo,@dr eggy yes because brexit was such a huge success..... give your head a wobble,,,,,1,1
219,Europa 1,"Go on Rishi lad, get it done son.",,,,1,,1
220,Videos To Views,"@<a href=""https://www.youtube.com/watch?v=KDx4QQTtLE0&amp;t=26m09s"">26:09</a> Did any one notice the change in Rishi&#39;s tone of voice soon after the first question was asked...by the bbc",,,,,1,1
221,Venoxisguides,Step down little man,,1,,,,0
222,Stephen heliodor,DENIAL DENIAL DENIAL !!!  This man is a nauseating example of the political classes:<br>&#39;&#39; Let Them Eat Cake &#39;&#39; .,,1,,,,0
223,applemac100100,He makes Keir Starmer sound exciting.,,1,,,,0
224,dr eggy,ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£,,,,,1,1
225,Michael Jones,A masterclass in gaslighting &amp; totally ignoring the impact of Brexit!,,,,1,,1
226,Lena Wagenfuehr,British denial!,,1,,,,0
227,Gary Smith,"I lost the sound  after about ten seconds, and Iâ€™m sure it a good thing, action speaks louder than words.",,,,,1,1
228,Zenoux Beauty,Some of comments here are meaningless. Our pm is just 10:weeks in power and please try to be patient. This is a tough time and he works day in day out for this country but some are just sounding racists here why? Rome was not built in a day.,,,,,1,1
229,niblet112,"Unelected puppet who was beaten in the pole by Liz truss, she will go down as 2nd worst prime minister in history behind this WEF puppet and nearly billionaire sunak. They really scraped the bottom of the barrel with this guy.",,1,,,,0
230,a walk,He reminds me of the snake in the Jungle Book film. &quot;Trust in me&quot;. The information direct from NHS doctors in A&amp;E today is a complete contradiction to his statement.  He is totally out-of-touch and delusional.  Our economy was wrecked when he was chancellor and now they placed him as PM. Does anyone believe these 5 pledges?,,1,,,,0
231,Ivor Gotten,"Unfortunately, we are stuck with him for the next 2 years, so we will find out if he actually does anything worthwhile. Personally I don&#39;t think he will. He and his paymasters have already hamstrung Suella Braverman over the boat people. He has already printed Billions of pounds and caused rampant inflation. He has already increased stealth taxation for the poorest.",,1,,,,0
232,ell bell,Feel like im listening to mr tumble,,1,,,,0
233,T R,Fantastic re numeracy move - go Rishi,,,,1,,1
234,dacads,He needs to stop putting on that voice he did at the start ðŸ¤£,1,,,,,0
235,Ben Lloyd,"Jesus, people want a government to deliver. ðŸ˜‚ yes we do so get out of number 10.",1,,,,,0
236,James Goodsir,rishi elbowed boris off his perch,,1,,,,0
237,Kesail,with better maths skills we will be able to more accurately calculate how much we&#39;re getting ripped off by politicians,,1,,,,0
238,drashmaria,"Rishi is not responsible for where we are at, unfortunately it is global issue that has chipped on us, particularly economical  challenges.   Let us work together give him sometime for him to deliver.   He is picking up on alot of mess.  Very difficult and painful times",,,,1,,1
239,Ausee P,Math until The age of 18 is good ðŸ‘ðŸ»,,,,,1,1
240,roma jones,I am always surprised when i see people who believe a rich man is going to look after them. The only thing people Will get is disappointment. Next year the poor Will be poorer.,1,,,,,0
241,Debbie Sharp,BullSh*t....,,1,,,,0
242,Samuel de Oliveira,We have just found the firs adult that believes in father Christmas ðŸ‘ðŸ‘ðŸ‘,,,1,,,1
